"date","Country","cases_total","cases_recovered","cases_fatal","cases_active","day","N","GDP_per_Capita","health_exp_percgdp","Hosp_beds","PP","susceptible","infected","removed","I_time"
2020-01-22,"China",548,28,17,503,1,1439000000,10216.6,5.35,4.3,0.34954829742877,1438999452,503,45,503
2020-01-23,"China",643,30,18,595,2,1439000000,10216.6,5.35,4.3,0.413481584433634,1438999357,595,48,703.380061072762
2020-01-24,"China",920,36,26,858,3,1439000000,10216.6,5.35,4.3,0.596247394023627,1438999080,858,62,983.585303138753
2020-01-25,"China",1406,39,42,1325,4,1439000000,10216.6,5.35,4.3,0.920778318276581,1438998594,1325,81,1375.4157169405
2020-01-26,"China",2075,49,56,1970,5,1439000000,10216.6,5.35,4.3,1.36900625434329,1438997925,1970,105,1923.33799677345
2020-01-27,"China",2877,58,82,2737,6,1439000000,10216.6,5.35,4.3,1.90201528839472,1438997123,2737,140,2689.53411594569
2020-01-28,"China",5509,101,131,5277,7,1439000000,10216.6,5.35,4.3,3.66712995135511,1438994491,5277,232,3760.95498113526
2020-01-29,"China",6087,120,133,5834,8,1439000000,10216.6,5.35,4.3,4.0542043085476,1438993913,5834,253,5259.18899491313
2020-01-30,"China",8141,135,171,7835,9,1439000000,10216.6,5.35,4.3,5.4447533009034,1438991859,7835,306,7354.25509231919
2020-01-31,"China",9802,214,213,9375,10,1439000000,10216.6,5.35,4.3,6.51494093120222,1438990198,9375,427,10283.8943154937
2020-02-01,"China",11891,275,259,11357,11,1439000000,10216.6,5.35,4.3,7.89228630993746,1438988109,11357,534,14380.5373879929
2020-02-02,"China",16630,463,361,15806,12,1439000000,10216.6,5.35,4.3,10.9840166782488,1438983370,15806,824,20109.0099294321
2020-02-03,"China",19716,614,425,18677,13,1439000000,10216.6,5.35,4.3,12.9791521890202,1438980284,18677,1039,28119.2354554785
2020-02-04,"China",23707,843,491,22373,14,1439000000,10216.6,5.35,4.3,15.5476025017373,1438976293,22373,1334,39319.9121447469
2020-02-05,"China",27440,1115,563,25762,15,1439000000,10216.6,5.35,4.3,17.9027102154274,1438972560,25762,1678,54981.4507194284
2020-02-06,"China",30587,1477,633,28477,16,1439000000,10216.6,5.35,4.3,19.7894371091035,1438969413,28477,2110,76879.831651783
2020-02-07,"China",34110,1999,718,31393,17,1439000000,10216.6,5.35,4.3,21.8158443363447,1438965890,31393,2717,107497.452156733
2020-02-08,"China",36814,2596,805,33413,18,1439000000,10216.6,5.35,4.3,23.2195969423211,1438963186,33413,3401,150303.59358641
2020-02-09,"China",39829,3219,905,35705,19,1439000000,10216.6,5.35,4.3,24.8123697011814,1438960171,35705,4124,210145.506463669
2020-02-10,"China",42354,3918,1012,37424,20,1439000000,10216.6,5.35,4.3,26.0069492703266,1438957646,37424,4930,293793.619086442
2020-02-11,"China",44386,4636,1112,38638,21,1439000000,10216.6,5.35,4.3,26.8505906879778,1438955614,38638,5748,410699.99327887
2020-02-12,"China",44759,5082,1117,38560,22,1439000000,10216.6,5.35,4.3,26.7963863794302,1438955241,38560,6199,574052.106331546
2020-02-13,"China",59895,6217,1369,52309,23,1439000000,10216.6,5.35,4.3,36.3509381514941,1438940105,52309,7586,802232.081243062
2020-02-14,"China",66358,7977,1521,56860,24,1439000000,10216.6,5.35,4.3,39.5135510771369,1438933642,56860,9498,1120830.460732
2020-02-15,"China",68413,9298,1663,57452,25,1439000000,10216.6,5.35,4.3,39.9249478804726,1438931587,57452,10961,1565409.13925953
2020-02-16,"China",70513,10755,1766,57992,26,1439000000,10216.6,5.35,4.3,40.3002084781098,1438929487,57992,12521,2185262.96722652
2020-02-17,"China",72434,12462,1864,58108,27,1439000000,10216.6,5.35,4.3,40.3808200138985,1438927566,58108,14326,3048482.84517824
2020-02-18,"China",74211,14206,2003,58002,28,1439000000,10216.6,5.35,4.3,40.3071577484364,1438925789,58002,16209,4248657.32647192
2020-02-19,"China",74619,15962,2116,56541,29,1439000000,10216.6,5.35,4.3,39.2918693537179,1438925381,56541,18078,5913522.57077266
2020-02-20,"China",75077,18014,2238,54825,30,1439000000,10216.6,5.35,4.3,38.0993745656706,1438924923,54825,20252,8215706.60449979
2020-02-21,"China",75550,18704,2238,54608,31,1439000000,10216.6,5.35,4.3,37.948575399583,1438924450,54608,20942,11385226.952383
2020-02-22,"China",77001,22699,2443,51859,32,1439000000,10216.6,5.35,4.3,36.0382209867964,1438922999,51859,25142,15722403.2373044
2020-02-23,"China",77022,23187,2445,51390,33,1439000000,10216.6,5.35,4.3,35.7123002084781,1438922978,51390,25632,21607861.057777
2020-02-24,"China",77241,25015,2595,49631,34,1439000000,10216.6,5.35,4.3,34.4899235580264,1438922759,49631,27610,29503022.3202038
2020-02-25,"China",77754,27676,2665,47413,35,1439000000,10216.6,5.35,4.3,32.948575399583,1438922246,47413,30341,39929552.3492528
2020-02-26,"China",78166,30084,2717,45365,36,1439000000,10216.6,5.35,4.3,31.5253648366921,1438921834,45365,32801,53411028.8443657
2020-02-27,"China",78600,32930,2746,42924,37,1439000000,10216.6,5.35,4.3,29.8290479499653,1438921400,42924,35676,70357547.5520129
2020-02-28,"China",78928,36329,2790,39809,38,1439000000,10216.6,5.35,4.3,27.6643502432245,1438921072,39809,39119,90882777.9576101
2020-02-29,"China",79356,39320,2837,37199,39,1439000000,10216.6,5.35,4.3,25.8505906879778,1438920644,37199,42157,114572690.383506
2020-03-01,"China",79932,42162,2872,34898,40,1439000000,10216.6,5.35,4.3,24.2515635858235,1438920068,34898,45034,140279293.980849
2020-03-02,"China",80136,44854,2914,32368,41,1439000000,10216.6,5.35,4.3,22.4933981931897,1438919864,32368,47768,166067470.540693
2020-03-03,"China",80261,47450,2947,29864,42,1439000000,10216.6,5.35,4.3,20.7533009034051,1438919739,29864,50397,189439524.440902
2020-03-04,"China",80386,50001,2983,27402,43,1439000000,10216.6,5.35,4.3,19.0423905489924,1438919614,27402,52984,207849500.264598
2020-03-05,"China",80537,52292,3015,25230,44,1439000000,10216.6,5.35,4.3,17.5330090340514,1438919463,25230,55307,219336135.764727
2020-03-06,"China",80690,53944,3044,23702,45,1439000000,10216.6,5.35,4.3,16.4711605281445,1438919310,23702,56988,222995484.186818
2020-03-07,"China",80770,55539,3072,22159,46,1439000000,10216.6,5.35,4.3,15.3988881167477,1438919230,22159,58611,219093091.939764
2020-03-08,"China",80823,57388,3100,20335,47,1439000000,10216.6,5.35,4.3,14.131341209173,1438919177,20335,60488,208822947.612407
2020-03-09,"China",80860,58804,3123,18933,48,1439000000,10216.6,5.35,4.3,13.1570535093815,1438919140,18933,61927,193882893.6123
2020-03-10,"China",80887,60181,3139,17567,49,1439000000,10216.6,5.35,4.3,12.2077831827658,1438919113,17567,63320,176060756.800063
2020-03-11,"China",80921,61644,3161,16116,50,1439000000,10216.6,5.35,4.3,11.1994440583739,1438919079,16116,64805,156945206.785937
2020-03-12,"China",80932,62901,3172,14859,51,1439000000,10216.6,5.35,4.3,10.3259207783183,1438919068,14859,66073,137783669.352026
2020-03-13,"China",80945,64196,3180,13569,52,1439000000,10216.6,5.35,4.3,9.42946490618485,1438919055,13569,67376,119455089.08818
2020-03-14,"China",80977,65660,3193,12124,53,1439000000,10216.6,5.35,4.3,8.42529534398888,1438919023,12124,68853,102509675.895677
2020-03-15,"China",81003,67017,3203,10783,54,1439000000,10216.6,5.35,4.3,7.49339819318971,1438918997,10783,70220,87236848.7160803
2020-03-16,"China",81033,67910,3217,9906,55,1439000000,10216.6,5.35,4.3,6.88394718554552,1438918967,9906,71127,73736474.2936331
2020-03-17,"China",81058,68798,3230,9030,56,1439000000,10216.6,5.35,4.3,6.27519110493398,1438918942,9030,72028,61981234.9939292
2020-03-18,"China",81102,69755,3241,8106,57,1439000000,10216.6,5.35,4.3,5.63307852675469,1438918898,8106,72996,51865599.8910974
2020-03-19,"China",81156,70535,3249,7372,58,1439000000,10216.6,5.35,4.3,5.1230020847811,1438918844,7372,73784,43241648.472429
2020-03-20,"China",81250,71266,3253,6731,59,1439000000,10216.6,5.35,4.3,4.67755385684503,1438918750,6731,74519,35943730.7273483
2020-03-21,"China",81305,71857,3259,6189,60,1439000000,10216.6,5.35,4.3,4.30090340514246,1438918695,6189,75116,29804478.4848048
2020-03-22,"China",81435,72362,3274,5799,61,1439000000,10216.6,5.35,4.3,4.02988186240445,1438918565,5799,75636,24664492.1006506
2020-03-23,"China",81498,72814,3274,5410,62,1439000000,10216.6,5.35,4.3,3.7595552466991,1438918502,5410,76088,20377634.8934347
2020-03-24,"China",81591,73280,3281,5030,63,1439000000,10216.6,5.35,4.3,3.4954829742877,1438918409,5030,76561,16813403.9056934
2020-03-25,"China",81661,73773,3285,4603,64,1439000000,10216.6,5.35,4.3,3.19874913134121,1438918339,4603,77058,13857449.4431433
2020-03-26,"China",81782,74181,3291,4310,65,1439000000,10216.6,5.35,4.3,2.99513551077137,1438918218,4310,77472,11410978.3422458
2020-03-27,"China",81897,74720,3296,3881,66,1439000000,10216.6,5.35,4.3,2.69701181375956,1438918103,3881,78016,9389549.62632002
2020-03-28,"China",81999,75100,3299,3600,67,1439000000,10216.6,5.35,4.3,2.50173731758165,1438918001,3600,78399,7721585.5216341
2020-03-29,"China",82122,75582,3304,3236,68,1439000000,10216.6,5.35,4.3,2.24878387769284,1438917878,3236,78886,6346803.99183025
2020-03-30,"China",82198,75923,3308,2967,69,1439000000,10216.6,5.35,4.3,2.06184850590688,1438917802,2967,79231,5214697.66976843
2020-03-31,"China",82279,76206,3309,2764,70,1439000000,10216.6,5.35,4.3,1.92077831827658,1438917721,2764,79515,4283118.71136327
2020-04-01,"China",82361,76405,3316,2640,71,1439000000,10216.6,5.35,4.3,1.83460736622655,1438917639,2640,79721,3517011.97761722
2020-04-02,"China",82432,76565,3322,2545,72,1439000000,10216.6,5.35,4.3,1.7685892981237,1438917568,2545,79887,2887297.24853243
2020-04-03,"China",82511,76760,3326,2425,73,1439000000,10216.6,5.35,4.3,1.68519805420431,1438917489,2425,80086,2369901.81580594
2020-04-04,"China",82543,76946,3330,2267,74,1439000000,10216.6,5.35,4.3,1.57539958304378,1438917457,2267,80276,1944933.00623372
2020-04-05,"China",82602,77207,3333,2062,75,1439000000,10216.6,5.35,4.3,1.43293954134816,1438917398,2062,80540,1595974.64293231
2020-04-06,"China",82665,77310,3335,2020,76,1439000000,10216.6,5.35,4.3,1.40375260597637,1438917335,2020,80645,1309495.20503673
2020-04-07,"China",82718,77410,3335,1973,77,1439000000,10216.6,5.35,4.3,1.37109103544128,1438917282,1973,80745,1074351.15282139
2020-04-08,"China",82809,77567,3337,1905,78,1439000000,10216.6,5.35,4.3,1.32383599722029,1438917191,1905,80904,881372.299938258
2020-04-09,"China",82883,77679,3339,1865,79,1439000000,10216.6,5.35,4.3,1.29603891591383,1438917117,1865,81018,723017.176220878
2020-04-10,"China",82941,77791,3340,1810,80,1439000000,10216.6,5.35,4.3,1.25781792911744,1438917059,1810,81131,593086.727676398
2020-04-11,"China",83014,77877,3343,1794,81,1439000000,10216.6,5.35,4.3,1.24669909659486,1438916986,1794,81220,486487.512167297
2020-04-12,"China",83134,77956,3343,1835,82,1439000000,10216.6,5.35,4.3,1.27519110493398,1438916866,1835,81299,399035.926084505
