"date","Country","cases_total","cases_recovered","cases_fatal","cases_active","day","N","GDP_per_Capita","health_exp_percgdp","Hosp_beds","PP","susceptible","infected","removed","I_time"
2020-03-01,"France",130,12,2,116,1,65273000,40496.4,11.26,5.9,1.7771513489498,65272870,116,14,116
2020-03-02,"France",191,12,3,176,2,65273000,40496.4,11.26,5.9,2.69636756392383,65272809,176,15,157.766505308381
2020-03-03,"France",212,12,4,196,3,65273000,40496.4,11.26,5.9,3.00277296891517,65272788,196,16,214.570767877756
2020-03-04,"France",288,12,4,272,4,65273000,40496.4,11.26,5.9,4.16711350788228,65272712,272,16,291.826688842757
2020-03-05,"France",426,12,7,407,5,65273000,40496.4,11.26,5.9,6.23534999157385,65272574,407,19,396.896542848542
2020-03-06,"France",616,12,9,595,6,65273000,40496.4,11.26,5.9,9.11556079849249,65272384,595,21,539.79275530796
2020-03-07,"France",948,12,16,920,7,65273000,40496.4,11.26,5.9,14.0946486296018,65272052,920,28,734.130347146193
2020-03-08,"France",1125,12,19,1094,8,65273000,40496.4,11.26,5.9,16.7603756530265,65271875,1094,31,998.422564581553
2020-03-09,"France",1411,12,25,1374,9,65273000,40496.4,11.26,5.9,21.0500513229053,65271589,1374,37,1357.84119383804
2020-03-10,"France",1783,12,33,1738,10,65273000,40496.4,11.26,5.9,26.6266296937478,65271217,1738,45,1846.60670267058
2020-03-11,"France",2293,12,48,2233,11,65273000,40496.4,11.26,5.9,34.2101634672836,65270707,2233,60,2511.23577903388
2020-03-12,"France",2293,12,48,2233,12,65273000,40496.4,11.26,5.9,34.2101634672836,65270707,2233,60,3414.94501417113
2020-03-13,"France",3681,12,79,3590,13,65273000,40496.4,11.26,5.9,54.9997701959463,65269319,3590,91,4643.6239100722
2020-03-14,"France",4496,12,91,4393,14,65273000,40496.4,11.26,5.9,67.3019472063487,65268504,4393,103,6313.92256824655
2020-03-15,"France",4532,12,91,4429,15,65273000,40496.4,11.26,5.9,67.8534769353331,65268468,4429,103,8584.18553375437
2020-03-16,"France",6683,12,149,6522,16,65273000,40496.4,11.26,5.9,99.9188025676773,65266317,6522,161,11669.2092901838
2020-03-17,"France",7715,12,149,7554,17,65273000,40496.4,11.26,5.9,115.729321465231,65265285,7554,161,15860.0858338436
2020-03-18,"France",9124,12,149,8963,18,65273000,40496.4,11.26,5.9,137.315582246871,65263876,8963,161,21550.7983863287
2020-03-19,"France",10970,12,244,10714,19,65273000,40496.4,11.26,5.9,164.141375453863,65262030,10714,256,29273.648131502
