"date","Country","cases_total","cases_recovered","cases_fatal","cases_active","day","N","GDP_per_Capita","health_exp_percgdp","Hosp_beds","PP","susceptible","infected","removed","I_time"
2020-03-16,"Russia",90,8,0,82,1,145934000,11585,5.32,7.1,0.561897844230954,145933910,82,8,82
2020-03-17,"Russia",114,8,0,106,2,145934000,11585,5.32,7.1,0.726355749859526,145933886,106,8,102.96377668609
2020-03-18,"Russia",147,8,0,139,3,145934000,11585,5.32,7.1,0.952485370098812,145933853,139,8,129.287033378555
2020-03-19,"Russia",199,9,1,189,4,145934000,11585,5.32,7.1,1.295106006825,145933801,189,10,162.339922121362
2020-03-20,"Russia",253,9,1,243,5,145934000,11585,5.32,7.1,1.66513629448929,145933747,243,10,203.842918958695
2020-03-21,"Russia",306,12,1,293,6,145934000,11585,5.32,7.1,2.00775693121548,145933694,293,13,255.956150642139
2020-03-22,"Russia",367,16,1,350,7,145934000,11585,5.32,7.1,2.39834445708334,145933633,350,17,321.392103433886
2020-03-23,"Russia",438,16,1,421,8,145934000,11585,5.32,7.1,2.88486576123453,145933562,421,17,403.556684863182
2020-03-24,"Russia",495,22,1,472,9,145934000,11585,5.32,7.1,3.23433881069525,145933505,472,23,506.726271099278
2020-03-25,"Russia",658,29,3,626,10,145934000,11585,5.32,7.1,4.28961037181192,145933342,626,32,636.270415316021
2020-03-26,"Russia",840,38,3,799,11,145934000,11585,5.32,7.1,5.47507777488454,145933160,799,41,798.931184009436
2020-03-27,"Russia",1036,45,4,987,12,145934000,11585,5.32,7.1,6.76333136897502,145932964,987,49,1003.17363061112
2020-03-28,"Russia",1264,49,4,1211,13,145934000,11585,5.32,7.1,8.29827182150835,145932736,1211,53,1259.62625473034
2020-03-29,"Russia",1534,64,8,1462,14,145934000,11585,5.32,7.1,10.0182274178738,145932466,1462,72,1581.63361205953
2020-03-30,"Russia",1836,66,9,1761,15,145934000,11585,5.32,7.1,12.0670988254965,145932164,1761,75,1985.94987513295
2020-03-31,"Russia",2337,121,17,2199,16,145934000,11585,5.32,7.1,15.0684556032179,145931663,2199,138,2493.60949236088
2020-04-01,"Russia",2777,190,24,2563,17,145934000,11585,5.32,7.1,17.5627338385846,145931223,2563,214,3131.01964786122
2020-04-02,"Russia",3548,235,30,3283,18,145934000,11585,5.32,7.1,22.4964710074417,145930452,3283,265,3931.33105375336
2020-04-03,"Russia",4149,281,34,3834,19,145934000,11585,5.32,7.1,26.2721504241643,145929851,3834,315,4936.15756475419
2020-04-04,"Russia",4731,333,43,4355,20,145934000,11585,5.32,7.1,29.8422574588513,145929269,4355,376,6197.73286223654
2020-04-05,"Russia",5389,355,45,4989,21,145934000,11585,5.32,7.1,34.1866871325394,145928611,4989,400,7781.61452078641
2020-04-06,"Russia",6343,406,47,5890,22,145934000,11585,5.32,7.1,40.3607110063453,145927657,5890,453,9770.07305867286
2020-04-07,"Russia",7497,494,58,6945,23,145934000,11585,5.32,7.1,47.590006441268,145926503,6945,552,12266.3374610744
2020-04-08,"Russia",8672,580,63,8029,24,145934000,11585,5.32,7.1,55.0180218454918,145925328,8029,643,15399.9104188561
