"date","Country","cases_total","cases_recovered","cases_fatal","cases_active","day","N","GDP_per_Capita","health_exp_percgdp","Hosp_beds","PP","susceptible","infected","removed","I_time"
2020-03-01,"United Kingdom",94,0,8,86,1,67886000,42328.9,10,2.5,1.26682968506025,67885906,86,8,86
2020-03-02,"United Kingdom",134,0,8,126,2,67886000,42328.9,10,2.5,1.8560527943906,67885866,126,8,110.799635390402
2020-03-03,"United Kingdom",189,0,8,181,3,67886000,42328.9,10,2.5,2.66623456971982,67885811,181,8,142.750595696906
2020-03-04,"United Kingdom",246,0,8,238,4,67886000,42328.9,10,2.5,3.50587750051557,67885754,238,8,183.915011375027
2020-03-05,"United Kingdom",295,0,8,287,5,67886000,42328.9,10,2.5,4.22767580944525,67885705,287,8,236.949664960903
2020-03-06,"United Kingdom",374,1,8,365,6,67886000,42328.9,10,2.5,5.37666087263942,67885626,365,9,305.277100234392
2020-03-07,"United Kingdom",429,2,18,409,7,67886000,42328.9,10,2.5,6.02480629290281,67885571,409,20,393.306997672225
2020-03-08,"United Kingdom",483,2,18,463,8,67886000,42328.9,10,2.5,6.82025749049878,67885517,463,20,506.720083095245
2020-03-09,"United Kingdom",630,3,18,609,9,67886000,42328.9,10,2.5,8.97092183955455,67885370,609,21,652.834791236862
2020-03-10,"United Kingdom",889,7,19,863,10,67886000,42328.9,10,2.5,12.7124885838023,67885111,863,26,841.079155746718
2020-03-11,"United Kingdom",1301,7,19,1275,11,67886000,42328.9,10,2.5,18.7814866099048,67884699,1275,26,1083.59831449883
2020-03-12,"United Kingdom",1790,9,19,1762,12,67886000,42328.9,10,2.5,25.9552779660018,67884210,1762,28,1396.03726667411
2020-03-13,"United Kingdom",2270,10,19,2241,13,67886000,42328.9,10,2.5,33.0112247002327,67883730,2241,29,1798.54862361185
2020-03-14,"United Kingdom",2634,29,19,2586,14,67886000,42328.9,10,2.5,38.093274018207,67883366,2586,48,2317.08954313772
2020-03-15,"United Kingdom",3077,43,19,3015,15,67886000,42328.9,10,2.5,44.412691865775,67882923,3015,62,2985.09121181657
2020-03-16,"United Kingdom",3692,66,21,3605,16,67886000,42328.9,10,2.5,53.1037327283976,67882308,3605,87,3845.60663038116
2020-03-17,"United Kingdom",4462,83,53,4326,17,67886000,42328.9,10,2.5,63.7244792740771,67881538,4326,136,4954.07291261235
2020-03-18,"United Kingdom",5468,118,68,5282,18,67886000,42328.9,10,2.5,77.8069115870724,67880532,5282,186,6381.86195954812
2020-03-19,"United Kingdom",6534,164,68,6302,19,67886000,42328.9,10,2.5,92.8321008749963,67879466,6302,232,8220.84184941833
2020-03-20,"United Kingdom",7792,196,68,7528,20,67886000,42328.9,10,2.5,110.891789175971,67878208,7528,264,10589.2311303068
2020-03-21,"United Kingdom",9007,254,68,8685,21,67886000,42328.9,10,2.5,127.935067613352,67876993,8685,322,13639.1036481004
