"date","Country","cases_total","cases_recovered","cases_fatal","cases_active","day","N","GDP_per_Capita","health_exp_percgdp","Hosp_beds","PP","susceptible","infected","removed","I_time"
2020-03-07,"US",403,7,17,379,1,331000000,65297.5,16.89,2.9,1.14501510574018,330999597,379,24,379
2020-03-08,"US",519,7,21,491,2,331000000,65297.5,16.89,2.9,1.4833836858006,330999481,491,28,499.30674977681
2020-03-09,"US",594,7,22,565,3,331000000,65297.5,16.89,2.9,1.70694864048338,330999406,565,29,657.802294536428
2020-03-10,"US",782,8,28,746,4,331000000,65297.5,16.89,2.9,2.25377643504532,330999218,746,36,866.608745885572
2020-03-11,"US",1147,8,33,1106,5,331000000,65297.5,16.89,2.9,3.34138972809668,330998853,1106,41,1141.69530591222
2020-03-12,"US",1586,12,43,1531,6,331000000,65297.5,16.89,2.9,4.62537764350453,330998414,1531,55,1504.10009878755
2020-03-13,"US",2219,12,51,2156,7,331000000,65297.5,16.89,2.9,6.51359516616314,330997781,2156,63,1981.53840659043
2020-03-14,"US",2978,12,58,2908,8,331000000,65297.5,16.89,2.9,8.78549848942598,330997022,2908,70,2610.52092466061
2020-03-15,"US",3212,12,70,3130,9,331000000,65297.5,16.89,2.9,9.45619335347432,330996788,3130,82,3439.14535225735
2020-03-16,"US",4679,17,97,4565,10,331000000,65297.5,16.89,2.9,13.7915407854985,330995321,4565,114,4530.7698820684
2020-03-17,"US",6512,17,134,6361,11,331000000,65297.5,16.89,2.9,19.2175226586103,330993488,6361,151,5968.85534764757
2020-03-18,"US",9169,105,194,8870,12,331000000,65297.5,16.89,2.9,26.797583081571,330990831,8870,299,7863.33749442057
2020-03-19,"US",13663,121,266,13276,13,331000000,65297.5,16.89,2.9,40.1087613293051,330986337,13276,387,10359.0170005437
2020-03-20,"US",20030,147,372,19511,14,331000000,65297.5,16.89,2.9,58.9456193353474,330979970,19511,519,13646.6039041898
2020-03-21,"US",26025,176,475,25374,15,331000000,65297.5,16.89,2.9,76.6586102719033,330973975,25374,651,17977.2523330363
2020-03-22,"US",34898,178,596,34124,16,331000000,65297.5,16.89,2.9,103.093655589124,330965102,34124,774,23681.6740723089
2020-03-23,"US",46136,178,788,45170,17,331000000,65297.5,16.89,2.9,136.465256797583,330953864,45170,966,31195.2701959358
2020-03-24,"US",56755,348,1031,55376,18,331000000,65297.5,16.89,2.9,167.299093655589,330943245,55376,1379,41091.1532730763
2020-03-25,"US",68837,361,1364,67112,19,331000000,65297.5,16.89,2.9,202.755287009063,330931163,67112,1725,54123.4984010852
2020-03-26,"US",86693,681,1783,84229,20,331000000,65297.5,16.89,2.9,254.468277945619,330913307,84229,2464,71284.3731901143
2020-03-27,"US",105383,869,2305,102209,21,331000000,65297.5,16.89,2.9,308.788519637462,330894617,102209,3174,93878.1483390919
2020-03-28,"US",125013,1072,2947,120994,22,331000000,65297.5,16.89,2.9,365.540785498489,330874987,120994,4019,123618.733127381
2020-03-29,"US",143912,2665,3571,137676,23,331000000,65297.5,16.89,2.9,415.939577039275,330856088,137676,6236,162756.269981393
2020-03-30,"US",165987,5644,4284,156059,24,331000000,65297.5,16.89,2.9,471.477341389728,330834013,156059,9928,214241.618279995
2020-03-31,"US",192301,7024,5369,179908,25,331000000,65297.5,16.89,2.9,543.528700906344,330807699,179908,12393,281938.911860052
2020-04-01,"US",224560,8474,6652,209434,26,331000000,65297.5,16.89,2.9,632.731117824773,330775440,209434,15126,370898.47803218
2020-04-02,"US",256792,9001,8164,239627,27,331000000,65297.5,16.89,2.9,723.948640483384,330743208,239627,17165,487704.074835594
2020-04-03,"US",289087,9707,9595,269785,28,331000000,65297.5,16.89,2.9,815.060422960725,330710913,269785,19302,640909.423552609
2020-04-04,"US",321477,14652,11158,295667,29,331000000,65297.5,16.89,2.9,893.253776435045,330678523,295667,25810,841577.776510214
2020-04-05,"US",351354,17448,12773,321133,30,331000000,65297.5,16.89,2.9,970.190332326284,330648646,321133,30221,1103932.45123791
2020-04-06,"US",382747,19581,14544,348622,31,331000000,65297.5,16.89,2.9,1053.23867069486,330617253,348622,34125,1446114.21365519
2020-04-07,"US",413516,21763,17119,374634,32,331000000,65297.5,16.89,2.9,1131.8247734139,330586484,374634,38882,1891011.83134383
