,date,Country,cases_total,cases_recovered,cases_fatal,cases_active,day,Population,GDP_per_Capita,health_exp_percgdp,Hosp_beds,PP,Haz,CF,OF
82282,3/7/2020,US,403,7,17,379,1,331000000,65297.5,16.89,2.9,1.145015106,NA,0.042183623,0.708333333
82283,3/8/2020,US,519,7,21,491,2,331000000,65297.5,16.89,2.9,1.483383686,3.50453E-13,0.040462428,0.75
82284,3/9/2020,US,594,7,22,565,3,331000000,65297.5,16.89,2.9,1.70694864,2.26586E-13,0.037037037,0.75862069
82285,3/10/2020,US,782,8,28,746,4,331000000,65297.5,16.89,2.9,2.253776435,5.67976E-13,0.035805627,0.777777778
82286,3/11/2020,US,1147,8,33,1106,5,331000000,65297.5,16.89,2.9,3.341389728,1.10272E-12,0.028770706,0.804878049
82287,3/12/2020,US,1586,12,43,1531,6,331000000,65297.5,16.89,2.9,4.625377644,1.32628E-12,0.027112232,0.781818182
82288,3/13/2020,US,2219,12,51,2156,7,331000000,65297.5,16.89,2.9,6.513595166,1.91239E-12,0.022983326,0.80952381
82289,3/14/2020,US,2978,12,58,2908,8,331000000,65297.5,16.89,2.9,8.785498489,2.29305E-12,0.019476158,0.828571429
82290,3/15/2020,US,3212,12,70,3130,9,331000000,65297.5,16.89,2.9,9.456193353,7.06949E-13,0.021793275,0.853658537
82291,3/16/2020,US,4679,17,97,4565,10,331000000,65297.5,16.89,2.9,13.79154079,4.43202E-12,0.020730925,0.850877193
82292,3/17/2020,US,6512,17,134,6361,11,331000000,65297.5,16.89,2.9,19.21752266,5.53776E-12,0.020577396,0.887417219
82293,3/18/2020,US,9169,105,194,8870,12,331000000,65297.5,16.89,2.9,26.79758308,8.02719E-12,0.021158251,0.648829431
82294,3/19/2020,US,13663,121,266,13276,13,331000000,65297.5,16.89,2.9,40.10876133,1.3577E-11,0.019468638,0.687338501
82295,3/20/2020,US,20030,147,372,19511,14,331000000,65297.5,16.89,2.9,58.94561934,1.92356E-11,0.018572142,0.716763006
82296,3/21/2020,US,26025,176,475,25374,15,331000000,65297.5,16.89,2.9,76.65861027,1.81118E-11,0.018251681,0.729646697
82297,3/22/2020,US,34898,178,596,34124,16,331000000,65297.5,16.89,2.9,103.0936556,2.68066E-11,0.017078343,0.77002584
82298,3/23/2020,US,46136,178,788,45170,17,331000000,65297.5,16.89,2.9,136.4652568,3.39517E-11,0.017079938,0.81573499
82299,3/24/2020,US,56755,348,1031,55376,18,331000000,65297.5,16.89,2.9,167.2990937,3.20816E-11,0.0181658,0.74764322
82300,3/25/2020,US,68837,361,1364,67112,19,331000000,65297.5,16.89,2.9,202.755287,3.65015E-11,0.019814925,0.790724638
82301,3/26/2020,US,86693,681,1783,84229,20,331000000,65297.5,16.89,2.9,254.4682779,5.39456E-11,0.020566828,0.72362013
82302,3/27/2020,US,105383,869,2305,102209,21,331000000,65297.5,16.89,2.9,308.7885196,5.64653E-11,0.021872598,0.72621298
82303,3/28/2020,US,125013,1072,2947,120994,22,331000000,65297.5,16.89,2.9,365.5407855,5.93051E-11,0.023573548,0.733266982
82304,3/29/2020,US,143912,2665,3571,137676,23,331000000,65297.5,16.89,2.9,415.939577,5.70967E-11,0.024813775,0.57264272
82305,3/30/2020,US,165987,5644,4284,156059,24,331000000,65297.5,16.89,2.9,471.4773414,6.66918E-11,0.02580925,0.431506849
82306,3/31/2020,US,192301,7024,5369,179908,25,331000000,65297.5,16.89,2.9,543.5287009,7.94985E-11,0.027919772,0.433228435
82307,4/1/2020,US,224560,8474,6652,209434,26,331000000,65297.5,16.89,2.9,632.7311178,9.74592E-11,0.029622373,0.439772577
82308,4/2/2020,US,256792,9001,8164,239627,27,331000000,65297.5,16.89,2.9,723.9486405,9.73776E-11,0.031792268,0.475618992
82309,4/3/2020,US,289087,9707,9595,269785,28,331000000,65297.5,16.89,2.9,815.060423,9.7568E-11,0.0331907,0.497098746
82310,4/4/2020,US,321477,14652,11158,295667,29,331000000,65297.5,16.89,2.9,893.2537764,9.7855E-11,0.034708548,0.432313057
82311,4/5/2020,US,351354,17448,12773,321133,30,331000000,65297.5,16.89,2.9,970.1903323,9.02628E-11,0.036353649,0.422653122
82312,4/6/2020,US,382747,19581,14544,348622,31,331000000,65297.5,16.89,2.9,1053.238671,9.48429E-11,0.037998992,0.426197802
82313,4/7/2020,US,413516,21763,17119,374634,32,331000000,65297.5,16.89,2.9,1131.824773,9.29577E-11,0.04139864,0.44028085
82314,4/8/2020,US,444731,23559,19279,401893,33,331000000,65297.5,16.89,2.9,1214.178248,9.43051E-11,0.0433498,0.450044353
82315,4/9/2020,US,480667,25410,21482,433775,34,331000000,65297.5,16.89,2.9,1310.498489,1.08568E-10,0.044692063,0.458116523
82316,4/10/2020,US,515081,28790,23676,462615,35,331000000,65297.5,16.89,2.9,1397.628399,1.0397E-10,0.045965586,0.451263676
82317,4/11/2020,US,544183,31270,25803,487110,36,331000000,65297.5,16.89,2.9,1471.63142,8.79215E-11,0.047416035,0.452105199
