"","date","Country","cases_total","cases_recovered","cases_fatal","cases_active","day","Population","GDP_per_Capita","health_exp_percgdp","Hosp_beds","PP","Haz"
"82283",2020-03-08,"US",519,7,21,491,2,331000000,65297.5,16.89,2.9,1.4833836858006,0.000000000000350453172205988
"82284",2020-03-09,"US",594,7,22,565,3,331000000,65297.5,16.89,2.9,1.70694864048338,0.00000000000022658610271944
"82285",2020-03-10,"US",782,8,28,746,4,331000000,65297.5,16.89,2.9,2.25377643504532,0.000000000000567975830817052
"82286",2020-03-11,"US",1147,8,33,1106,5,331000000,65297.5,16.89,2.9,3.34138972809668,0.00000000000110271903323645
"82287",2020-03-12,"US",1586,12,43,1531,6,331000000,65297.5,16.89,2.9,4.62537764350453,0.00000000000132628398792176
"82288",2020-03-13,"US",2219,12,51,2156,7,331000000,65297.5,16.89,2.9,6.51359516616314,0.00000000000191238670696146
"82289",2020-03-14,"US",2978,12,58,2908,8,331000000,65297.5,16.89,2.9,8.78549848942598,0.00000000000229305135953725
"82290",2020-03-15,"US",3212,12,70,3130,9,331000000,65297.5,16.89,2.9,9.45619335347432,0.000000000000706948640490244
"82291",2020-03-16,"US",4679,17,97,4565,10,331000000,65297.5,16.89,2.9,13.7915407854985,0.00000000000443202416924694
"82292",2020-03-17,"US",6512,17,134,6361,11,331000000,65297.5,16.89,2.9,19.2175226586103,0.00000000000553776435056212
"82293",2020-03-18,"US",9169,105,194,8870,12,331000000,65297.5,16.89,2.9,26.797583081571,0.00000000000802719033254864
"82294",2020-03-19,"US",13663,121,266,13276,13,331000000,65297.5,16.89,2.9,40.1087613293051,0.0000000000135770392754849
"82295",2020-03-20,"US",20030,147,372,19511,14,331000000,65297.5,16.89,2.9,58.9456193353474,0.0000000000192356495479918
"82296",2020-03-21,"US",26025,176,475,25374,15,331000000,65297.5,16.89,2.9,76.6586102719033,0.0000000000181117824787654
"82297",2020-03-22,"US",34898,178,596,34124,16,331000000,65297.5,16.89,2.9,103.093655589124,0.000000000026806646528506
"82298",2020-03-23,"US",46136,178,788,45170,17,331000000,65297.5,16.89,2.9,136.465256797583,0.0000000000339516616361522
"82299",2020-03-24,"US",56755,348,1031,55376,18,331000000,65297.5,16.89,2.9,167.299093655589,0.0000000000320815710024797
"82300",2020-03-25,"US",68837,361,1364,67112,19,331000000,65297.5,16.89,2.9,202.755287009063,0.0000000000365015105816092
"82301",2020-03-26,"US",86693,681,1783,84229,20,331000000,65297.5,16.89,2.9,254.468277945619,0.0000000000539456193494765
"82302",2020-03-27,"US",105383,869,2305,102209,21,331000000,65297.5,16.89,2.9,308.788519637462,0.0000000000564652568155604
"82303",2020-03-28,"US",125013,1072,2947,120994,22,331000000,65297.5,16.89,2.9,365.540785498489,0.0000000000593051359740602
"82304",2020-03-29,"US",143912,2665,3571,137676,23,331000000,65297.5,16.89,2.9,415.939577039275,0.0000000000570966767619846
"82305",2020-03-30,"US",165987,5644,4284,156059,24,331000000,65297.5,16.89,2.9,471.477341389728,0.0000000000666918429337462
"82306",2020-03-31,"US",192301,7024,5369,179908,25,331000000,65297.5,16.89,2.9,543.528700906344,0.0000000000794984894721681
"82307",2020-04-01,"US",224560,8474,6652,209434,26,331000000,65297.5,16.89,2.9,632.731117824773,0.0000000000974592145676297
"82308",2020-04-02,"US",256792,9001,8164,239627,27,331000000,65297.5,16.89,2.9,723.948640483384,0.000000000097377643580078
"82309",2020-04-03,"US",289087,9707,9595,269785,28,331000000,65297.5,16.89,2.9,815.060422960725,0.0000000000975679759160291
"82310",2020-04-04,"US",321477,14652,11158,295667,29,331000000,65297.5,16.89,2.9,893.253776435045,0.0000000000978549849892995
"82311",2020-04-05,"US",351354,17448,12773,321133,30,331000000,65297.5,16.89,2.9,970.190332326284,0.0000000000902628399749674
"82312",2020-04-06,"US",382747,19581,14544,348622,31,331000000,65297.5,16.89,2.9,1053.23867069486,0.000000000094842900411785
"82313",2020-04-07,"US",413516,21763,17119,374634,32,331000000,65297.5,16.89,2.9,1131.8247734139,0.0000000000929577040436239
"82314",2020-04-08,"US",444731,23559,19279,401893,33,331000000,65297.5,16.89,2.9,1214.17824773414,0.0000000000943051360783698
"82315",2020-04-09,"US",480667,25410,21482,433775,34,331000000,65297.5,16.89,2.9,1310.49848942598,0.000000000108567975988474
"82316",2020-04-10,"US",515081,28790,23676,462615,35,331000000,65297.5,16.89,2.9,1397.62839879154,0.000000000103969788681429
"82317",2020-04-11,"US",544183,31270,25803,487110,36,331000000,65297.5,16.89,2.9,1471.63141993958,0.0000000000879214502956053
"82318",2020-04-12,"US",571440,32988,27677,510775,37,331000000,65297.5,16.89,2.9,1543.12688821752,0.0000000000823474321663342
"82319",2020-04-13,"US",598380,43482,29686,525212,38,331000000,65297.5,16.89,2.9,1586.74320241692,0.0000000000813897282438126
"82320",2020-04-14,"US",627205,47763,32120,547322,39,331000000,65297.5,16.89,2.9,1653.54078549849,0.0000000000870845923100299
"82321",2020-04-15,"US",652611,52096,34732,565783,40,331000000,65297.5,16.89,2.9,1709.31419939577,0.0000000000767552871603968
"82322",2020-04-16,"US",682626,54703,36875,591048,41,331000000,65297.5,16.89,2.9,1785.64350453172,0.0000000000906797584951673
"82323",2020-04-17,"US",715656,58545,38985,618126,42,331000000,65297.5,16.89,2.9,1867.4501510574,0.0000000000997885198532153
"82324",2020-04-18,"US",743588,64840,40958,637790,43,331000000,65297.5,16.89,2.9,1926.8580060423,0.0000000000843867071382143
"82325",2020-04-19,"US",769684,70337,42929,656418,44,331000000,65297.5,16.89,2.9,1983.13595166163,0.0000000000788398793374072
"82326",2020-04-20,"US",799512,72329,45158,682025,45,331000000,65297.5,16.89,2.9,2060.49848942598,0.0000000000901148038430449
"82327",2020-04-21,"US",825429,75204,47672,702553,46,331000000,65297.5,16.89,2.9,2122.5166163142,0.000000000078299093850847
"82328",2020-04-22,"US",854288,77366,50132,726790,47,331000000,65297.5,16.89,2.9,2195.74018126888,0.0000000000871873114032721
"82329",2020-04-23,"US",887858,80203,52588,755067,48,331000000,65297.5,16.89,2.9,2281.16918429003,0.000000000101419939849083
"82330",2020-04-24,"US",920185,99079,54776,766330,49,331000000,65297.5,16.89,2.9,2315.19637462236,0.000000000097664652839485
"82331",2020-04-25,"US",950581,100372,56487,793722,50,331000000,65297.5,16.89,2.9,2397.95166163142,0.0000000000918308159736937
"82332",2020-04-26,"US",977082,106988,57886,812208,51,331000000,65297.5,16.89,2.9,2453.80060422961,0.0000000000800634443451014
"82333",2020-04-27,"US",1000785,111424,59394,829967,52,331000000,65297.5,16.89,2.9,2507.45317220544,0.0000000000716102721198383
"82334",2020-04-28,"US",1025362,115936,61618,847808,53,331000000,65297.5,16.89,2.9,2561.35347432024,0.0000000000742507555170208
"82335",2020-04-29,"US",1051800,120720,64036,867044,54,331000000,65297.5,16.89,2.9,2619.46827794562,0.0000000000798731120362856
"82336",2020-04-30,"US",1081020,153947,66231,860842,55,331000000,65297.5,16.89,2.9,2600.73111782477,0.0000000000882779459076442
